,MTTR_samples
0,4.2972806614698245
1,3.4062270179942353
2,3.9087249577682606
3,2.90657385701292
4,2.8342945868644818
5,3.7204509507502395
6,3.4000457743195147
7,3.0768544485764506
8,3.57974811882792
9,3.0599990968231756
10,3.5434044336392008
11,3.242209026845201
12,2.963684369835219
13,3.582047654764351
14,3.6493975808815575
15,2.951713340596978
16,3.318294624672719
17,3.3410934593813812
18,4.076959922867642
19,3.268167925560951
20,2.6836010372847214
21,3.9994907108594737
22,3.651140026775125
23,4.223451605900084
24,3.4850329684228343
25,3.922642112591798
26,3.728361066482509
27,3.699606892358485
28,3.048828351602541
29,3.2811016358116136
30,3.386878039446901
31,3.4708194232144125
32,3.221874569091548
33,3.5599059275783596
34,4.117248021862231
35,3.1294740320237926
36,3.4971779502766616
37,3.335355828211548
38,3.521349906561551
39,2.9697543821416637
40,3.2559886224494017
41,3.459988029810274
42,3.732321724191712
43,3.2031337479037587
44,3.441779571850816
45,3.639301375560474
46,3.184977802264358
47,3.0083342675308495
48,3.102365248650673
49,3.80895656582216
50,2.8257571745368346
51,3.5632018950616597
52,3.7881576716194303
53,3.7073668667760606
54,3.004061600687719
55,3.357761665852285
56,3.4191308582036206
57,4.204179315848874
58,2.99078816246488
59,2.3172100193902585
60,2.8917410175036684
61,3.394893138208672
62,4.50387001770788
63,4.043145611027073
64,3.80777554302567
65,2.8915172413163597
66,2.997028205479979
67,3.2272655344486894
68,3.5364512542896422
69,3.8962451478398634
70,2.985768342186881
71,3.694855103695091
72,3.795132427413461
73,3.098093306747173
74,3.2071492540196234
75,3.9085774480453734
76,3.9800053142966356
77,3.7040700903888357
78,2.7703597809040246
79,3.8234202275513938
80,2.6654176081141054
81,3.292239502791747
82,3.858839577766196
83,3.0980430376215717
84,3.7672188820244314
85,3.83596137431322
86,2.741681993321688
87,3.231262935059288
88,3.4618997106999445
89,2.956193972877549
90,3.3405984588217366
91,3.4467419199956426
92,3.4646466858254343
93,2.857323953894161
94,3.06780616082442
95,3.587645928026066
96,4.39652316900864
97,3.224736950539101
98,3.6613373134845366
99,3.3691519385093947
100,3.140521041402699
101,3.389202292734023
102,3.4813174051937095
103,4.34193266192255
104,3.7184175908662973
105,4.003827555818631
106,3.3040103301565376
107,3.482779572437667
108,3.2311762741667165
109,3.922964090826992
110,3.7830499103176236
111,3.5038515011710487
112,4.32829489767734
113,3.61434442381425
114,3.136772004265027
115,3.2814061979991345
116,3.418421417253716
117,3.76528567335993
118,3.417937695675751
119,3.6325516038817147
120,3.3271241030028884
121,2.8727562544505245
122,2.5506163766262695
123,3.3847015538615546
124,3.314810109506783
125,3.3011664059502834
126,2.6646470969429417
127,3.9936963738100446
128,3.4392871441583965
129,3.4894033849663537
130,3.1127107873624036
131,3.5689815380832477
132,3.1543438875953953
133,3.707773499183253
134,4.690315414573928
135,3.024762035874992
136,3.3374839371336797
137,3.059970318406676
138,3.541254231029054
139,3.7926731571989825
140,3.3676773369717354
141,3.8430900594799793
142,3.4168768618815264
143,3.362105663437859
144,2.6201127931697306
145,3.7894916911092595
146,3.1540349726962846
147,3.3246683092785387
148,3.0937375966434777
149,3.417029589610059
150,3.4883351653590053
151,2.963951436089142
152,3.692763012642466
153,3.5103942582110705
154,3.3399809724499354
155,4.066003999730265
156,3.259824213716496
157,3.216240036110283
158,3.776046982370225
159,2.6539972209102176
160,3.3337589902634464
161,3.2438731778234517
162,2.8705345594262046
163,3.6540722003127057
164,3.8792256595115107
165,3.7034788595480315
166,3.2307319132254158
167,2.875496415304016
168,3.117847975348265
169,3.3682479334587456
170,3.300184995938369
171,3.0253429447438402
172,3.3641253191255167
